class,type,group,allergen,allergy
plant origin,fruit,pome fruit,quince,oral allergy syndrome
plant origin,vegetable,cruciferous vegetable,radish,radish allergy
plant origin,vegetable,cruciferous vegetable,radish root,hypersensitivity
plant origin,nut and seed,oil seed,rapeseed,seed allergy
plant origin,fruit,berry,raspberry,salicylate allergy
plant origin,cereal grain and pulse,cereal grain,rice,rice allergy
plant origin,oil,oil,ricebran oil,rice allergy
animal origin,bee product,bee product,royal jelly,honey allergy
plant origin,cereal grain and pulse,cereal grain,rye,gluten allergy
plant origin,nut and seed,oil seed,safflower seed,seed allergy
animal origin,aquatic animal,fish,salmon,fish allergy
plant origin,vegetable,composite vegetable,salsify,insulin allergy
plant origin,spice and herb,spice,sansho,pepper allergy
animal origin,aquatic animal,fish,sea bass,fish allergy
animal origin,aquatic animal,fish,sea bream,fish allergy
plant origin,nut and seed,oil seed,sesame seed,seed allergy
plant origin,vegetable,liliaceous vegetable,shallot,allium allergy
animal origin,terrestrial mammal,offal,sheep,alpha-gal syndrome
animal origin,aquatic animal,shellfish,shelled mollusc,fish allergy
plant origin,vegetable,mushroom,shiitake  mushroom,mushroom allergy
plant origin,vegetable,composite vegetable,shungiku,insulin allergy
animal origin,dairy,dairy,sour cream,milk allergy / lactose intolerance
plant origin,cereal grain and pulse,pulse,soy bean,soy allergy
plant origin,spice and herb,herb,spearmint,mint allergy
plant origin,vegetable,miscellaneous vegetable,spinach,histamine allergy
plant origin,vegetable,cucurbitaceous vegetable,squash,squash allergy
plant origin,fruit,berry,strawberry,salicylate allergy
plant origin,vegetable,sugar source,sugar,sugar allergy / intolerance
plant origin,vegetable,sugar source,sugar beet,sugar allergy / intolerance
plant origin,vegetable,sugar source,sugarcane,sugar allergy / intolerance
plant origin,cereal grain and pulse,pulse,sultani,legume allergy
plant origin,cereal grain and pulse,pulse,sultapya,legume allergy
plant origin,oil,oil,sunflower oil,sunflower allergy
plant origin,nut and seed,oil seed,sunflower seed,seed allergy
plant origin,cereal grain and pulse,cereal grain,sweet corn,corn allergy
plant origin,vegetable,solanceous vegetable,sweet pepper,nightshade allergy
plant origin,vegetable,potato,sweet potato,potato allergy
plant origin,vegetable,potato,taro,potato allergy
plant origin,tea,tea,tea,tannin allergy
animal origin,aquatic animal,fish,tetraodontiformes,fish allergy
plant origin,vegetable,solanceous vegetable,tomato,nightshade allergy
animal origin,aquatic animal,fish,trout,fish allergy
animal origin,aquatic animal,fish,tuna,fish allergy
animal origin,poultry,offal,turkey,poultry allergy
plant origin,vegetable,cruciferous vegetable,turnip leaf,turnip allergy
plant origin,vegetable,cruciferous vegetable,turnip root,thyroid
plant origin,nut and seed,oil seed,walnut,nut allergy
plant origin,vegetable,cucurbitaceous vegetable,watermelon,watermelon allergy
plant origin,vegetable,cruciferous vegetable,watercress,watercress allergy
plant origin,vegetable,liliaceous vegetable,welsh,allium allergy
plant origin,cereal grain and pulse,cereal grain,wheat,gluten allergy
animal origin,dairy,dairy,whey,milk allergy / lactose intolerance
plant origin,cereal grain and pulse,pulse,white bean,legume allergy
plant origin,vegetable,potato,yam,potato allergy
animal origin,dairy,dairy,yogurt,milk allergy / lactose intolerance
